,Enzyme:,Reaction:,Reference:,Reference ID:,PMID,DOI,T [K],pH,Keq,Km',Experimental conditions,Ionic strength [molal],Enthalpy [kJ/mol],solutes [mol/dm^3],Buffer:,-log[Mg+2],EC Value:,Method:,Ionic strength [mol/dm^3],solutes [molal]
3506, NAD+ nucleosidase, NAD(aq) + H2O(l) = nicotinamide(aq) + ADPribose(aq),Berger R.L.; Mudd C.P.; Clem T.; Kolobow T.; Beile E.; Simons P.C.; Michel S.; McClintock W.; J. Biochem. Biophys. Meth.; 18 113 (1989).,89BER/MUD_947, , ,298.15,7.4, , , , , , , Bis-tris (0.2 mol dm-3), ,3.2.2.5, calorimetry, , 
3507, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Eldar H.; Degani H.; Magn. Reson. Med.; 11 121 (1989).,89ELD/DEG_602, , ,286.65,8.2, , , , , , , Hepes (0.050 mol dm-3), ,2.7.3.2, NMR, , 
3508, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Eldar H.; Degani H.; Magn. Reson. Med.; 11 121 (1989).,89ELD/DEG_602, , ,295.15,8.2, , , , , , , Hepes (0.050 mol dm-3), ,2.7.3.2, NMR, , 
3509, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Eldar H.; Degani H.; Magn. Reson. Med.; 11 121 (1989).,89ELD/DEG_602, , ,303.15,8.2, , , , , , , Hepes (0.050 mol dm-3), ,2.7.3.2, NMR, , 
3510, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Eldar H.; Degani H.; Magn. Reson. Med.; 11 121 (1989).,89ELD/DEG_602, , ,308.15,8.2, , , , , , , Hepes (0.050 mol dm-3), ,2.7.3.2, NMR, , 
3511, guanidinoacetate kinase, ATP(aq) + guanidinoacetate(aq) = ADP(aq) + phosphoguanidinoacetate(aq),Ellington W.R.; J. Exp. Biol.; 143 177 (1989).,89ELL_588, , ,308.15,7.25, , , , , , , mercaptoethanol (0.014 mol dm-3) + Hepes (0.050 mol dm-3), ,2.7.3.1, NMR and enzymatic assay, , 
3512, arginine kinase, ATP(aq) + L-arginine(aq) = ADP(aq) + NÏ‰-phospho-L-arginine(aq),Ellington W.R.; J. Exp. Biol.; 143 177 (1989).,89ELL_621, , ,308.15,7.25, , , , , , , mercaptoethanol (0.014 mol dm-3) + Hepes (0.050 mol dm-3), ,2.7.3.3, NMR and enzymatic assay, , 
3513, taurocyamine kinase, ATP(aq) + taurocyamine(aq) = ADP(aq) + NÏ‰-phosphotaurocyamine(aq),Ellington W.R.; J. Exp. Biol.; 143 177 (1989).,89ELL_625, , ,308.15,7.25, , , , , , , mercaptoethanol (0.014 mol dm-3) + Hepes (0.050 mol dm-3), ,2.7.3.4, NMR and enzymatic assay, , 
3514, lombricine kinase, ATP(aq) + lombricine(aq) = ADP(aq) + NÏ‰-phospholombricine(aq),Ellington W.R.; J. Exp. Biol.; 143 177 (1989).,89ELL_627,2543728,,308.15,7.25, , , , , , , mercaptoethanol (0.014 mol dm-3) + Hepes (0.050 mol dm-3), ,2.7.3.5, NMR and enzymatic assay, , 
3515, phosphoglucomutase, Î±-D-glucose 1-phosphate(aq) = Î±-D-glucose 6-phosphate(aq),Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_1405, , ,298.15,8.48, , , , , , , Tris (0.1 mol dm-3) + HCl, ,5.4.2.2, HPLC, , 
3516, sucrose phosphorylase, sucrose(aq) + orthophosphate(aq) = Î±-D-glucose 1-phosphate(aq) + D-fructose(aq),Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_418, , ,298.15,8.25, , , , , , , Tris (0.1 mol dm-3) + HCl, ,2.4.1.7, HPLC, , 
3517, _-galactosidase, lactose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_931, , ,286.15,5.65, ,35.2, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.23, HPLC, , 
3518, _-galactosidase, lactose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_931, , ,292.15,5.65, ,32.2, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.23, HPLC, , 
3519, _-galactosidase, lactose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_931, , ,298.15,5.65, ,34.0, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.23, HPLC, , 
3520, _-galactosidase, lactose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_931, , ,304.15,5.65, ,32.4, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.23, HPLC, , 
3521, _-galactosidase, lactose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_931, , ,310.15,5.65, ,34.8, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.23, HPLC, , 
3522, _-galactosidase, lactose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_932,2498341,,298.15,5.65, , , , ,0.466, , sodium acetate (0.1 mol dm-3), ,3.2.1.23, calorimetry, , 
3523, _-galactosidase, lactose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_932,2498341,,304.65,5.65, , , , ,0.469, , sodium acetate (0.1 mol dm-3), ,3.2.1.23, calorimetry, , 
3524, _-galactosidase, lactose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_932,2498341,,310.15,5.65, , , , ,0.540, , sodium acetate (0.1 mol dm-3), ,3.2.1.23, calorimetry, , 
3525, _-galactosidase, lactose(aq) + H2O(l) = D-galactose(aq) + D-glucose(aq),Goldberg R.N.; Tewari Y.B.; J. Biol. Chem.; 264 9897 (1989).,89GOL/TEW_932,2498341,,316.15,5.65, , , , ,0.612, , sodium acetate (0.1 mol dm-3), ,3.2.1.23, calorimetry, , 
3526, _-fructofuranosidase, sucrose(aq) + H2O(l) = D-glucose(aq) + D-fructose(aq),Goldberg R.N.; Tewari Y.B.; Ahluwalia J.C.; J. Biol. Chem.; 264 9901 (1989).,89GOL/TEW2_943,2722882,,298.15,5.65, , , , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.26, calorimetry, , 
3527, _-fructofuranosidase, sucrose(aq) + H2O(l) = D-glucose(aq) + D-fructose(aq),Goldberg R.N.; Tewari Y.B.; Ahluwalia J.C.; J. Biol. Chem.; 264 9901 (1989).,89GOL/TEW2_943,2722882,,304.15,5.65, , , , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.26, calorimetry, , 
3528, _-fructofuranosidase, sucrose(aq) + H2O(l) = D-glucose(aq) + D-fructose(aq),Goldberg R.N.; Tewari Y.B.; Ahluwalia J.C.; J. Biol. Chem.; 264 9901 (1989).,89GOL/TEW2_943,2722882,,310.15,5.65, , , , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.26, calorimetry, , 
3529, _-fructofuranosidase, sucrose(aq) + H2O(l) = D-glucose(aq) + D-fructose(aq),Goldberg R.N.; Tewari Y.B.; Ahluwalia J.C.; J. Biol. Chem.; 264 9901 (1989).,89GOL/TEW2_943,2722882,,316.15,5.65, , , , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.26, calorimetry, , 
3530, NAD(P)+ nucleosidase, NAD(aq) + 3-acetylpyridine(aq) = 3-acetylpyridine adenine dinucleotide(aq) + nicotinamide(aq),Imai T.; J. Biochem. (Tokyo); 106 938 (1989).,89IMA_948, , ,312.15,6.0, , , , , , , Tris maleate (0.05 mol dm-3), ,3.2.2.6, spectrophotometry, , 
3531, NAD(P)+ nucleosidase, Î²-nicotinamide mononucleotide(aq) + 3-acetylpyridine(aq) = 3-acetylpyridine mononucleotide(aq) + nicotinamide(aq),Imai T.; J. Biochem. (Tokyo); 106 938 (1989).,89IMA_949, , ,312.15,6.0, , , , , , , Tris maleate (0.05 mol dm-3), ,3.2.2.6, spectrophotometry, , 
3532, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Jee J.-G.; Shin J.-Y.; Bull Korean Chem. Soc.; 10 50 (1989).,89JEE/SHI_21, , ,298.15,8.8, , ,   +  0.1, , , , Tris (0.1 mol dm-3) + HCl, ,1.1.1.1, spectrophotometry, , 
3533, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Jee J.-G.; Shin J.-Y.; Bull Korean Chem. Soc.; 10 50 (1989).,89JEE/SHI_21, , ,298.15,8.8, , ,   +  120.0, , , , Tris (0.1 mol dm-3) + HCl, ,1.1.1.1, spectrophotometry, , 
3534, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Jee J.-G.; Shin J.-Y.; Bull Korean Chem. Soc.; 10 50 (1989).,89JEE/SHI_21, , ,298.15,8.8, , ,   +  150.0, , , , Tris (0.1 mol dm-3) + HCl, ,1.1.1.1, spectrophotometry, , 
3535, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Jee J.-G.; Shin J.-Y.; Bull Korean Chem. Soc.; 10 50 (1989).,89JEE/SHI_21, , ,298.15,8.8, , ,   +  30.0, , , , Tris (0.1 mol dm-3) + HCl, ,1.1.1.1, spectrophotometry, , 
3536, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Jee J.-G.; Shin J.-Y.; Bull Korean Chem. Soc.; 10 50 (1989).,89JEE/SHI_21, , ,298.15,8.8, , ,   +  60.0, , , , Tris (0.1 mol dm-3) + HCl, ,1.1.1.1, spectrophotometry, , 
3537, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Jee J.-G.; Shin J.-Y.; Bull Korean Chem. Soc.; 10 50 (1989).,89JEE/SHI_21, , ,298.15,8.8, , ,   +  90.0, , , , Tris (0.1 mol dm-3) + HCl, ,1.1.1.1, spectrophotometry, , 
3538, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Jee J.-G.; Shin J.-Y.; Bull Korean Chem. Soc.; 10 50 (1989).,89JEE/SHI_21, , ,308.15,8.8, , ,   +  0.1, , , , Tris (0.1 mol dm-3) + HCl, ,1.1.1.1, spectrophotometry, , 
3539, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Jee J.-G.; Shin J.-Y.; Bull Korean Chem. Soc.; 10 50 (1989).,89JEE/SHI_21, , ,308.15,8.8, , ,   +  120.0, , , , Tris (0.1 mol dm-3) + HCl, ,1.1.1.1, spectrophotometry, , 
3540, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Jee J.-G.; Shin J.-Y.; Bull Korean Chem. Soc.; 10 50 (1989).,89JEE/SHI_21, , ,308.15,8.8, , ,   +  150.0, , , , Tris (0.1 mol dm-3) + HCl, ,1.1.1.1, spectrophotometry, , 
3541, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Jee J.-G.; Shin J.-Y.; Bull Korean Chem. Soc.; 10 50 (1989).,89JEE/SHI_21, , ,308.15,8.8, , ,   +  30.0, , , , Tris (0.1 mol dm-3) + HCl, ,1.1.1.1, spectrophotometry, , 
3542, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Jee J.-G.; Shin J.-Y.; Bull Korean Chem. Soc.; 10 50 (1989).,89JEE/SHI_21, , ,308.15,8.8, , ,   +  60.0, , , , Tris (0.1 mol dm-3) + HCl, ,1.1.1.1, spectrophotometry, , 
3543, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Jee J.-G.; Shin J.-Y.; Bull Korean Chem. Soc.; 10 50 (1989).,89JEE/SHI_21, , ,308.15,8.8, , ,   +  90.0, , , , Tris (0.1 mol dm-3) + HCl, ,1.1.1.1, spectrophotometry, , 
3544, a-mannosidase, disaccharide(aq) + H2O(l) = 2 D-mannose(aq),Johansson E.; Hedbys L.; Mosbach K.; Larsson P.-O.; Gunnarsson A.; Svensson S.; Enzyme Microb. Technol.; 11 347 (1989).,89JOH/HED_937, , ,328.15,5.5,~ 6, , , , , , Na2HPO4 (0.02 mol dm-3) + citric acid (0.01 mol dm-3), ,3.2.1.24, HPLC and gas-liquid chromatography with mass spectrometry, , 
3545, a-mannosidase, tetrasaccharide(aq) + H2O(l) = trisaccharide(aq) + D-mannose(aq),Johansson E.; Hedbys L.; Mosbach K.; Larsson P.-O.; Gunnarsson A.; Svensson S.; Enzyme Microb. Technol.; 11 347 (1989).,89JOH/HED_938, , ,328.15,5.5,~ 6, , , , , , Na2HPO4 (0.02 mol dm-3) + citric acid (0.01 mol dm-3), ,3.2.1.24, HPLC and gas-liquid chromatography with mass spectrometry, , 
3546, a-mannosidase, trisaccharide(aq) + H2O(l) = disaccharide(aq) + D-mannose(aq),Johansson E.; Hedbys L.; Mosbach K.; Larsson P.-O.; Gunnarsson A.; Svensson S.; Enzyme Microb. Technol.; 11 347 (1989).,89JOH/HED_939, , ,328.15,5.5,~ 6, , , , , , Na2HPO4 (0.02 mol dm-3) + citric acid (0.01 mol dm-3), ,3.2.1.24, HPLC and gas-liquid chromatography with mass spectrometry, , 
3547, creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),LoPresti P.; Cohn M.; Biochim. Biophys. Acta; 998 317 (1989).,89LOP/COH_603, , ,309.15,7.0, , , , , , , potassium acetate (0.140 mol dm-3) + KHCO3 (0.006 mol dm-3) + (KH2PO4 + Na2HPO4) (0.001 mol dm-3), ,2.7.3.2, NMR, , 
3548, creatine kinase, ATP(aq) + cyclocreatine(aq) = ADP(aq) + phosphocyclocreatine(aq),LoPresti P.; Cohn M.; Biochim. Biophys. Acta; 998 317 (1989).,89LOP/COH_605, , ,309.15,7.0, , , , , , , potassium acetate (0.140 mol dm-3) + KHCO3 (0.006 mol dm-3) + (KH2PO4 + Na2HPO4) (0.001 mol dm-3), ,2.7.3.2, NMR, , 
3549, creatine kinase, phosphocreatine(aq) + cyclocreatine(aq) = creatine(aq) + phosphocyclocreatine(aq),LoPresti P.; Cohn M.; Biochim. Biophys. Acta; 998 317 (1989).,89LOP/COH_609, , ,309.15,7.0, , , , , , , potassium acetate (0.140 mol dm-3) + KHCO3 (0.006 mol dm-3) + (KH2PO4 + Na2HPO4) (0.001 mol dm-3), ,2.7.3.2, NMR, , 
3550, aminoacylase, N-acetyl-L-methionine(aq) + H2O(l) = acetate(aq) + L-methionine(aq),Rekharsky M.V.; Sikorenko Yu.B.; Gal'chenko G.L.; Zhur. Fiz. Khim.; 63 1403 (1989).,89REK/SIK_1026, , ,298.15,6.86, , , , ,-2.4, , phosphate (0.05 mol dm-3), ,3.5.1.14, calorimetry, , 
3551, D-xylulose reductase, xylitol(aq) + NAD(aq) = D-xylulose(aq) + NADH(aq),Rizzi M.; Harwart K.; Bui-Thanh N.-A.; Dellweg H.; J. Ferment. Bioeng.; 67 25 (1989).,89RIZ/HAR_55, , ,298.15,7.0, , , , , , , Tris (0.05 mol dm-3) + HCl, ,1.1.1.9, spectrophotometry, , 
3552, alkaline phosphatase, ethylene glycol phosphate(aq) + H2O(l) = ethylene glycol(aq) + orthophosphate(aq),Romero P.J.; de Meis L.; J. Biol. Chem.; 264 7869 (1989).,89ROM/DEM_761, , ,308.15,7.0,59, , , , , , Mops (0.10 mol dm-3) + KOH, ,3.1.3.1, chromatography and radioactivity, , 
3553, alkaline phosphatase, ethylene glycol phosphate(aq) + H2O(l) = ethylene glycol(aq) + orthophosphate(aq),Romero P.J.; de Meis L.; J. Biol. Chem.; 264 7869 (1989).,89ROM/DEM_761, , ,308.15,7.0,60, , , , , , Mops (0.10 mol dm-3) + KOH, ,3.1.3.1, chromatography and radioactivity, , 
3554, alkaline phosphatase, D-glucose 6-phosphate(aq) + H2O(l) = D-glucose(aq) + orthophosphate(aq),Romero P.J.; de Meis L.; J. Biol. Chem.; 264 7869 (1989).,89ROM/DEM_776, , ,308.15,7.0,56, , , , , , Mops (0.10 mol dm-3) + KOH, ,3.1.3.1, chromatography and radioactivity, , 
3555, alkaline phosphatase, D-glucose 6-phosphate(aq) + H2O(l) = D-glucose(aq) + orthophosphate(aq),Romero P.J.; de Meis L.; J. Biol. Chem.; 264 7869 (1989).,89ROM/DEM_776, , ,308.15,7.0,55, , , , , , Mops (0.10 mol dm-3) + KOH, ,3.1.3.1, chromatography and radioactivity, , 
3556, alkaline phosphatase, L-Î±-glycerophosphate(aq) + H2O(l) = glycerol(aq) + orthophosphate(aq),Romero P.J.; de Meis L.; J. Biol. Chem.; 264 7869 (1989).,89ROM/DEM_780,2722769,,308.15,7.0,73, ,   +  none, , , , Mops (0.10 mol dm-3) + KOH, ,3.1.3.1, chromatography and radioactivity, , 
3557, alkaline phosphatase, L-Î±-glycerophosphate(aq) + H2O(l) = glycerol(aq) + orthophosphate(aq),Romero P.J.; de Meis L.; J. Biol. Chem.; 264 7869 (1989).,89ROM/DEM_780,2722769,,308.15,7.0,68, ,   +  none, , , , Mops (0.10 mol dm-3) + KOH, ,3.1.3.1, chromatography and radioactivity, , 
3558, alkaline phosphatase, L-Î±-glycerophosphate(aq) + H2O(l) = glycerol(aq) + orthophosphate(aq),Romero P.J.; de Meis L.; J. Biol. Chem.; 264 7869 (1989).,89ROM/DEM_780,2722769,,308.15,8.0,22, ,   +  dimethyl sulfoxide (50% v/v), , , , Mops (0.10 mol dm-3) + KOH, ,3.1.3.1, chromatography and radioactivity, , 
3559, alkaline phosphatase, L-Î±-glycerophosphate(aq) + H2O(l) = glycerol(aq) + orthophosphate(aq),Romero P.J.; de Meis L.; J. Biol. Chem.; 264 7869 (1989).,89ROM/DEM_780,2722769,,308.15,8.0,26, ,   +  none, , , , Mops (0.10 mol dm-3) + KOH, ,3.1.3.1, chromatography and radioactivity, , 
3560, alkaline phosphatase, L-Î±-glycerophosphate(aq) + H2O(l) = glycerol(aq) + orthophosphate(aq),Romero P.J.; de Meis L.; J. Biol. Chem.; 264 7869 (1989).,89ROM/DEM_780,2722769,,308.15,8.0,9, ,   +  poly(ethylene glycol) (50% w/v), , , , Mops (0.10 mol dm-3) + KOH, ,3.1.3.1, chromatography and radioactivity, , 
3561, glucose-6-phosphate isomerase, D-glucose 6-phosphate(aq) = D-fructose 6-phosphate(aq),Sangwan R.S.; Singh R.; J. Biosci.; 14 47 (1989).,89SAN/SIN_1362, , ,303.15,8.1, , , , , , , Tris (0.05 mol dm-3) + HCl, ,5.3.1.9, enzymatic assay + spectrophotometry, , 
3562, L-iditol 2-dehydrogenase, D-arabitol(aq) + NAD(aq) = D-ribulose(aq) + NADH(aq),Schneider K.-H.; Giffhorn F.; Eur. J. Biochem.; 184 15 (1989).,89SCH/GIF_58, , ,298.15,7.0, , , , , , , potassium phosphate (0.10 mol dm-3), ,1.1.1.14, spectrophotometry, , 
3563, L-iditol 2-dehydrogenase, D-mannitol(aq) + NAD(aq) = D-fructose(aq) + NADH(aq),Schneider K.-H.; Giffhorn F.; Eur. J. Biochem.; 184 15 (1989).,89SCH/GIF_63, , ,298.15,7.0, , , , , , , potassium phosphate (0.10 mol dm-3), ,1.1.1.14, spectrophotometry, , 
3564, L-iditol 2-dehydrogenase, D-sorbitol(aq) + NAD(aq) = D-fructose(aq) + NADH(aq),Schneider K.-H.; Giffhorn F.; Eur. J. Biochem.; 184 15 (1989).,89SCH/GIF_68,2789134,10.1111/j.1432-1033.1989.tb14984.x,298.15,7.0, , , , , , , potassium phosphate (0.10 mol dm-3), ,1.1.1.14, spectrophotometry, , 
3565," oligo-1,6-glucosidase", isomaltose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_909, , ,286.35,5.65, ,15.8, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.10, HPLC, , 
3566," oligo-1,6-glucosidase", isomaltose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_909, , ,292.45,5.65, ,16.2, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.10, HPLC, , 
3567," oligo-1,6-glucosidase", isomaltose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_909, , ,298.15,5.65, ,17.2, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.10, HPLC, , 
3568," oligo-1,6-glucosidase", isomaltose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_909, , ,304.15,5.65, ,18.0, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.10, HPLC, , 
3569," oligo-1,6-glucosidase", isomaltose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_909, , ,310.25,5.65, ,19.4, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.10, HPLC, , 
3570," oligo-1,6-glucosidase", isomaltose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_909, , ,316.35,5.65, ,19.7, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.10, HPLC, , 
3571," oligo-1,6-glucosidase", isomaltose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_910, , ,298.15,5.65, , , , ,5.93, , sodium acetate (0.1 mol dm-3), ,3.2.1.10, calorimetry, , 
3572," oligo-1,6-glucosidase", isomaltose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_910, , ,304.55,5.65, , , , ,5.67, , sodium acetate (0.1 mol dm-3), ,3.2.1.10, calorimetry, , 
3573," oligo-1,6-glucosidase", isomaltose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_910, , ,310.15,5.65, , , , ,6.35, , sodium acetate (0.1 mol dm-3), ,3.2.1.10, calorimetry, , 
3574," oligo-1,6-glucosidase", isomaltose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_910, , ,316.15,5.65, , , , ,5.98, , sodium acetate (0.1 mol dm-3), ,3.2.1.10, calorimetry, , 
3575, a-glucosidase, maltose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_912, , ,298.15,5.65, , , , ,-4.02, , sodium acetate (0.1 mol dm-3), ,3.2.1.20, calorimetry, , 
3576, a-glucosidase, maltose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_912, , ,304.55,5.65, , , , ,-3.74, , sodium acetate (0.1 mol dm-3), ,3.2.1.20, calorimetry, , 
3577, _-glucosidase, cellobiose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_916, , ,298.15,5.65, , , , ,-2.37, , sodium acetate (0.1 mol dm-3), ,3.2.1.21, calorimetry, , 
3578, _-glucosidase, cellobiose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_916, , ,304.55,5.65, , , , ,-2.56, , sodium acetate (0.1 mol dm-3), ,3.2.1.21, calorimetry, , 
3579, _-glucosidase, cellobiose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_916, , ,310.15,5.65, , , , ,-2.34, , sodium acetate (0.1 mol dm-3), ,3.2.1.21, calorimetry, , 
3580, _-glucosidase, Î²-gentiobiose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_918, , ,285.75,5.65, ,17.2, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.21, HPLC, , 
3581, _-glucosidase, Î²-gentiobiose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_918, , ,292.25,5.65, ,17.5, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.21, HPLC, , 
3582, _-glucosidase, Î²-gentiobiose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_918, , ,298.15,5.65, ,17.7, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.21, HPLC, , 
3583, _-glucosidase, Î²-gentiobiose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_918, , ,304.15,5.65, ,17.9, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.21, HPLC, , 
3584, _-glucosidase, Î²-gentiobiose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_918, , ,310.35,5.65, ,18.5, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.21, HPLC, , 
3585, _-glucosidase, Î²-gentiobiose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_918, , ,316.15,5.65, ,19.5, , , , , sodium acetate (0.1 mol dm-3), ,3.2.1.21, HPLC, , 
3586, _-glucosidase, Î²-gentiobiose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_919,2492994,,298.15,5.65, , , , ,2.36, , sodium acetate (0.1 mol dm-3), ,3.2.1.21, calorimetry, , 
3587, _-glucosidase, Î²-gentiobiose(aq) + H2O(l) = 2 D-glucose(aq),Tewari Y.B.; Goldberg R.N.; J. Biol. Chem.; 264 3966 (1989).,89TEW/GOL_919,2492994,,304.55,5.65, , , , ,1.91, , sodium acetate (0.1 mol dm-3), ,3.2.1.21, calorimetry, , 
